追风筝的人,8.9,为你，千千万万遍,430175人评价
                ,https://book.douban.com/subject/1770782/
解忧杂货店,8.5,一碗精心熬制的东野牌鸡汤，拒绝很难,416277人评价
                ,https://book.douban.com/subject/25862578/
小王子,9.0,献给长成了大人的孩子们,352581人评价
                ,https://book.douban.com/subject/1084336/
白夜行,9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍,307644人评价
                ,https://book.douban.com/subject/3259440/
